#,# de flotte SPC // SSC Fleet #,Marque // Make,Modèle // Model,Année // Year,Couleur // Color,Couleur PCIM // FIP COLOUR,Coût // Cost,Taxes sur les pneus // Tire levy,Taxes,Prix total calculé // Total purchase price,Lecture actuelle du compteur // Current Odometer Reading,Numéro du modèle // Model number,Litres du moteur // Litres of engine,Ville // City,Province
43,300019,Dodge,Grand Caravan,2019,Argent/Silver,Noir/Black,"$24,955.00",$20.00,"$1,248.75","$26,223.75",3206,RTKH53,3.6 / 283,Newmarket,ON
44,300024,Dodge,Grand Caravan,2019,Argent/Silver,Noir/Black,"$24,955.00",$20.00,"$1,248.75","$26,223.75",5960,RTKH53,3.6 / 283,Ottawa,ON
45,300025,Dodge,Grand Caravan,2019,Argent/Silver,Noir/Black,"$24,955.00",$20.00,"$1,248.75","$26,223.75",2059,RTKH53,3.6 / 283,Ottawa,ON
46,300026,Dodge,Grand Caravan,2019,Argent/Silver,Noir/Black,"$24,955.00",$20.00,"$1,248.75","$26,223.75",2778,RTKH53,3.6 / 283,Borden,ON
47,400000,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$20.00,"$1,196.25","$25,121.25",19218,Y6BG18,2.5 / 170,Regina,SK
48,400001,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$18.75,"$1,196.19","$25,119.94",21825,Y6BG18,2.5 / 170,Winnipeg,MB
49,400002,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$20.00,"$1,196.25","$25,121.25",10987,Y6BG18,2.5 / 170,Calgary,AB
50,400003,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$20.00,"$1,196.25","$25,121.25",7575,Y6BG18,2.5 / 170,Saskatoon,SK
51,400004,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$20.00,"$1,196.25","$25,121.25",4654,Y6BG18,2.5 / 170,Edmonton,AB
52,400005,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$18.75,"$1,196.19","$25,119.94",3752,Y6BG18,2.5 / 170,Shilo,MB
53,400006,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$18.75,"$1,196.19","$25,119.94",3545,Y6BG18,2.5 / 170,Winnipeg,MB
54,400007,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$20.00,"$1,196.25","$25,121.25",7419,Y6BG18,2.5 / 170,Edmonton,AB
55,400008,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$20.00,"$1,196.25","$25,121.25",2759,Y6BG18,2.5 / 170,Ralston,AB
56,400009,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$20.00,"$1,196.25","$25,121.25",6948,Y6BG18,2.5 / 170,Edmonton,AB
57,400010,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$20.00,"$1,196.25","$25,121.25",1697,Y6BG18,2.5 / 170,Cold Lake,AB
58,500002,Dodge,Grand Caravan,2018,Rouge/Red,Blanc/White,"$23,674.00",$20.00,"$1,184.70","$24,878.70",7678,RTKH53 29E,3.6 / 283,Victoria,BC
59,500003,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$25.00,"$1,196.50","$25,126.50",6896,Y6BG18,2.5 / 170,Comox,BC
60,400012,Dodge ,Caravan,2012,Gris/Grey,Blanc/White,--,--,--,--,32200,--,--,Winnipeg,MB
61,400013,RAM,1500,2012,Vert perle/Pearl Green,Blanc/White,--,--,--,--,116303,--,--,Regina,SK
62,400014,Ford ,Expedition,2010,Noir/Black,Blanc/White,--,--,--,--,90754,--,--,Regina,SK
